url,headline,time
https://eng.lsm.lv/article/culture/literature/19.07.2026-work-starts-on-translating-new-testament-into-modern-latgalian.a655538/,Work starts on translating New Testament into modern Latgalian,10:28
https://eng.lsm.lv/article/society/defence/19.07.2026-no-one-in-armed-forces-will-be-disciplined-over-rezekne-drone-incident.a655536/,No-one in armed forces will be disciplined over Rēzekne drone incident,10:20
https://eng.lsm.lv/article/features/news-in-simple-latvian/19.07.2026-news-in-simple-latvian-18th-july-2026.a655534/,"News in simple Latvian: 18th July, 2026",10:07
https://eng.lsm.lv/article/culture/food-drink/18.07.2026-expert-dont-eat-second-class-mushrooms.a655498/,Expert: Don't eat second-class mushrooms,"Yesterday, 11:03"
https://eng.lsm.lv/article/politics/diplomacy/18.07.2026-latvias-baiba-braze-returns-from-busy-us-trip.a655493/,Latvia's Baiba Braže returns from busy U.S. trip,"Yesterday, 10:41"
https://eng.lsm.lv/article/features/news-in-simple-latvian/18.07.2026-news-in-simple-latvian-17th-july-2026.a655494/,"News in simple Latvian: 17th July, 2026","Yesterday, 9:51"
https://eng.lsm.lv/article/culture/culture/17.07.2026-four-city-festivals-for-the-weekend-in-latvia.a655397/,Four city festivals for the weekend in Latvia,"July 17, 13:38"
https://eng.lsm.lv/article/society/crime/17.07.2026-latvia-has-lots-of-mainly-female-judges.a655430/,Latvia has lots of (mainly female) judges,"July 17, 13:09"
https://eng.lsm.lv/article/politics/diplomacy/18.07.2026-latvias-baiba-braze-returns-from-busy-us-trip.a655493/,Latvia's Baiba Braže returns from busy U.S. trip,"Yesterday, 10:41"
https://eng.lsm.lv/article/politics/politics/17.07.2026-rezekne-still-trying-to-rent-out-its-unwanted-spa-complex.a655426/,Rēzekne still trying to rent out its unwanted spa complex,"July 17, 12:52"
https://eng.lsm.lv/article/politics/election/16.07.2026-almost-a-quarter-of-latgale-election-candidates-live-elsewhere.a655286/,Almost a quarter of 'Latgale' election candidates live elsewhere,"July 16, 12:17"
https://eng.lsm.lv/article/politics/president/16.07.2026-rinkevics-latvia-and-lithuanuia-share-a-bond-based-on-bloodline.a655249/,Rinkēvičs: Latvia and Lithuanuia share 'a bond based on bloodline',"July 16, 8:56"
https://eng.lsm.lv/article/politics/diplomacy/15.07.2026-latvias-baiba-braze-attending-rubio-called-conference-in-washington-dc.a655150/,"Latvia's Baiba Braže attending Rubio-called conference in Washington, D.C.",Update 22:28
https://eng.lsm.lv/article/politics/president/15.07.2026-president-rinkevics-heads-to-lithuania.a654956/,President Rinkēvičs heads to Lithuania,"July 15, 10:25"
https://eng.lsm.lv/article/politics/diplomacy/14.07.2026-latvias-honorary-consuls-in-ukraine-given-awards.a654960/,Latvia's honorary consuls in Ukraine given awards,"July 14, 8:08"
https://eng.lsm.lv/article/politics/diplomacy/13.07.2026-russia-planning-to-make-sarcastic-use-of-international-courts-against-baltics.a654903/,Russia planning to make sarcastic use of international courts against Baltics,"July 13, 16:12"
https://eng.lsm.lv/article/society/defence/19.07.2026-no-one-in-armed-forces-will-be-disciplined-over-rezekne-drone-incident.a655536/,No-one in armed forces will be disciplined over Rēzekne drone incident,10:20
https://eng.lsm.lv/article/society/crime/17.07.2026-latvia-has-lots-of-mainly-female-judges.a655430/,Latvia has lots of (mainly female) judges,"July 17, 13:09"
https://eng.lsm.lv/article/society/defence/17.07.2026-journalists-expose-online-terrorism-efforts-in-poland-and-baltics.a655398/,Journalists expose online terrorism efforts in Poland and Baltics,"July 17, 11:06"
https://eng.lsm.lv/article/society/society/17.07.2026-stores-set-fuel-pellet-purchase-limits-producers-say-theres-plenty-to-go-around.a655394/,Stores set fuel pellet purchase limits – producers say there's plenty to go around,"July 17, 10:19"
https://eng.lsm.lv/article/society/education/16.07.2026-small-demonstration-staged-against-closure-of-sports-school.a655319/,Small demonstration staged against closure of sports school,"July 16, 15:55"
https://eng.lsm.lv/article/society/education/16.07.2026-young-latvians-lag-behind-neighbours-in-digital-skills.a655278/,Young Latvians lag behind neighbours in digital skills,"July 16, 11:39"
https://eng.lsm.lv/article/society/society/16.07.2026-auditors-deliver-damning-report-on-ogre-district-procurement-practices.a655254/,Auditors deliver damning report on Ogre district procurement practices,"July 16, 10:10"
https://eng.lsm.lv/article/society/education/16.07.2026-researchers-in-latvia-concerned-about-potential-threat-to-academic-freedom.a655251/,Researchers in Latvia concerned about potential threat to academic freedom,"July 16, 9:36"
https://eng.lsm.lv/article/culture/literature/19.07.2026-work-starts-on-translating-new-testament-into-modern-latgalian.a655538/,Work starts on translating New Testament into modern Latgalian,10:28
https://eng.lsm.lv/article/culture/food-drink/18.07.2026-expert-dont-eat-second-class-mushrooms.a655498/,Expert: Don't eat second-class mushrooms,"Yesterday, 11:03"
https://eng.lsm.lv/article/culture/culture/17.07.2026-four-city-festivals-for-the-weekend-in-latvia.a655397/,Four city festivals for the weekend in Latvia,"July 17, 13:38"
https://eng.lsm.lv/article/culture/theatre/17.07.2026-ghostly-goings-on-at-latvian-radio.a655384/,Ghostly goings-on at Latvian Radio,"July 17, 9:37"
https://eng.lsm.lv/article/culture/culture/16.07.2026-new-tourism-brochure-available-for-valmiera-district.a655307/,New tourism brochure available for Valmiera district,"July 16, 14:50"
https://eng.lsm.lv/article/culture/sport/16.07.2026-liepaja-advances-in-uefa-conference-league-qualification.a655267/,Liepāja advances in UEFA Conference League qualification,"July 16, 11:04"
https://eng.lsm.lv/article/culture/food-drink/15.07.2026-berry-good-latvias-juiciest-exports-have-growth-potential.a655123/,Berry good – Latvia's juiciest exports have growth potential,"July 15, 10:54"
https://eng.lsm.lv/article/culture/sport/14.07.2026-latvia-joins-call-for-eu-to-cut-funding-to-international-olympic-committee.a655001/,Latvia joins call for EU to cut funding to International Olympic Committee,"July 14, 11:34"
https://eng.lsm.lv/article/economy/economy/17.07.2026-latvian-central-bank-publishes-latest-macroeconomic-projections-report.a655410/,Latvian central bank publishes latest Macroeconomic Projections Report,"July 17, 11:22"
https://eng.lsm.lv/article/economy/employment/16.07.2026-women-have-longer-working-lives-than-men-in-latvia.a655322/,Women have longer working lives than men in Latvia,"July 16, 16:38"
https://eng.lsm.lv/article/economy/transport/16.07.2026-media-speculates-about-airbaltic-short-term-financing.a655317/,Media speculates about airBaltic short-term financing,"July 16, 15:42"
https://eng.lsm.lv/article/economy/transport/16.07.2026-riga-to-get-a-few-more-cycle-lanes.a655306/,Rīga to get a few more cycle lanes,"July 16, 14:40"
https://eng.lsm.lv/article/economy/transport/15.07.2026-riga-bridge-repairs-likely-to-cause-traffic-disruption.a655219/,Rīga bridge repairs likely to cause traffic disruption,"July 15, 18:48"
https://eng.lsm.lv/article/economy/transport/15.07.2026-why-did-daugavpils-sell-its-buses-its-complicated.a655159/,Why did Daugavpils sell its buses? It's complicated,"July 15, 14:08"
https://eng.lsm.lv/article/economy/business/15.07.2026-rezekne-to-host-second-dual-use-export-forum.a655132/,Rēzekne to host second 'Dual-Use Export Forum',"July 15, 11:23"
https://eng.lsm.lv/article/economy/economy/14.07.2026-new-vat-rules-seem-to-be-applied-properly-in-latvia.a655014/,New VAT rules seem to be applied properly in Latvia,"July 14, 12:26"
https://eng.lsm.lv/article/features/news-in-simple-latvian/19.07.2026-news-in-simple-latvian-18th-july-2026.a655534/,"News in simple Latvian: 18th July, 2026",10:07
https://eng.lsm.lv/article/features/news-in-simple-latvian/18.07.2026-news-in-simple-latvian-17th-july-2026.a655494/,"News in simple Latvian: 17th July, 2026","Yesterday, 9:51"
https://eng.lsm.lv/article/features/news-in-simple-latvian/17.07.2026-news-in-simple-latvian-16th-july-2026.a655379/,"News in simple Latvian: 16th July, 2026","July 17, 9:15"
https://eng.lsm.lv/article/features/news-in-simple-latvian/16.07.2026-news-in-simple-latvian-15th-july-2026.a655243/,"News in simple Latvian: 15th July, 2026","July 16, 8:18"
https://eng.lsm.lv/article/features/news-in-simple-latvian/15.07.2026-news-in-simple-latvian-14th-july-2026.a655115/,"News in simple Latvian: 14th July, 2026","July 15, 9:53"
https://eng.lsm.lv/article/features/news-in-simple-latvian/14.07.2026-news-in-simple-latvian-13th-july-2026.a654953/,"News in simple Latvian: 13th July, 2026","July 14, 7:23"
https://eng.lsm.lv/article/features/news-in-simple-latvian/13.07.2026-news-in-simple-latvian-12th-july-2026.a654820/,"News in simple Latvian: 12th July, 2026","July 13, 8:48"
https://eng.lsm.lv/article/features/features/12.07.2026-the-deep-roots-of-resilience-what-a-crown-taught-me-about-todays-ukraine.a654669/,The Deep Roots of Resilience: what a crown taught me about today’s Ukraine,"July 12, 12:00"
https://eng.lsm.lv/article/weather/weather/17.07.2026-warm-weekend-ahead-in-latvia.a655386/,Warm weekend ahead in Latvia,"July 17, 10:01"
https://eng.lsm.lv/article/weather/weather/13.07.2026-sunny-start-to-the-weather-week-in-latvia.a654824/,Sunny start to the weather week in Latvia,"July 13, 9:11"
https://eng.lsm.lv/article/weather/weather/12.07.2026-storm-warning-for-eastern-latvia-on-sunday-evening.a654788/,Storm warning for eastern Latvia on Sunday evening,"July 12, 17:38"
https://eng.lsm.lv/article/weather/weather/10.07.2026-dry-and-hot-weather-to-begin-in-latvia-sunday.a654590/,Dry and hot weather to begin in Latvia Sunday,"July 10, 7:57"
https://eng.lsm.lv/article/weather/weather/08.07.2026-rain-warning-across-latvia-wednesday.a654258/,Rain warning across Latvia Wednesday,Update 10:16
https://eng.lsm.lv/article/weather/weather/06.07.2026-weather-will-improve-over-weekend-in-latvia.a653965/,Weather will improve over weekend in Latvia,"July 6, 9:56"
https://eng.lsm.lv/article/weather/weather/06.07.2026-downpours-still-expected-monday-in-latvia.a653949/,Downpours still expected Monday in Latvia,"July 6, 7:47"
https://eng.lsm.lv/article/weather/weather/03.07.2026-weekend-weather-will-be-rather-gloomy-in-latvia.a653724/,Weekend weather will be rather gloomy in Latvia,"July 3, 11:50"
