url,headline
https://eng.lsm.lv/article/features/news-in-simple-latvian/22.08.2026-news-in-simple-latvian-21st-august-2026.a659889/,"News in simple Latvian: 21st August, 2026"
https://eng.lsm.lv/article/weather/weather/22.08.2026-severe-storm-warning-for-saturday-in-latvia.a659888/,Severe storm warning for Saturday in Latvia
https://eng.lsm.lv/article/society/defence/21.08.2026-turkish-jets-land-at-latvias-lielvarde-airbase.a659854/,Turkish jets land at Latvia's Lielvārde airbase
https://eng.lsm.lv/article/culture/music/21.08.2026-riga-concert-rescheduled-over-saturday-storm-warning.a659850/,Rīga concert rescheduled over Saturday storm warning
https://eng.lsm.lv/article/society/crime/21.08.2026-public-demand-answers-about-csdd-hack-but-are-unlikely-to-get-them-quickly.a659840/,Public demand answers about CSDD hack but are unlikely to get them quickly
https://eng.lsm.lv/article/culture/literature/21.08.2026-this-years-statehood-award-is-given-to-writer-mara-zalite.a659829/,This year's Statehood Award is given to writer Māra Zālīte
https://eng.lsm.lv/article/culture/food-drink/21.08.2026-imagine-20-million-litres-of-latvian-ice-cream.a659822/,Imagine 20 million litres of Latvian ice cream
https://eng.lsm.lv/article/society/crime/21.08.2026-latvian-police-smoke-out-king-sized-illegal-cigarette-factory.a659819/,Latvian police smoke out king sized illegal cigarette factory
https://eng.lsm.lv/article/politics/politics/20.08.2026-latvian-and-lithuanian-pms-stress-eastern-border-security.a659188/,Latvian and Lithuanian PMs stress eastern border security
https://eng.lsm.lv/article/politics/diplomacy/20.08.2026-baltic-states-reaffirm-support-for-ukraine-on-historic-day-in-tallinn.a659626/,Baltic states reaffirm support for Ukraine on historic day in Tallinn
https://eng.lsm.lv/article/politics/president/18.08.2026-rinkevics-latvia-lacks-border-guards.a659250/,Rinkēvičs: Latvia lacks border guards
https://eng.lsm.lv/article/politics/president/17.08.2026-president-rinkevics-returns-to-latvias-eastern-border.a659191/,President Rinkēvičs returns to Latvia's eastern border
https://eng.lsm.lv/article/politics/politics/13.08.2026-latvias-municipalities-try-to-balance-their-books.a658615/,Latvia's municipalities try to balance their books
https://eng.lsm.lv/article/politics/diplomacy/12.08.2026-latvia-joins-diplomatic-ballistic-missile-pledge.a658449/,Latvia joins diplomatic ballistic missile pledge
https://eng.lsm.lv/article/politics/diplomacy/11.08.2026-text-of-dombravas-spanish-letter-released.a658274/,Text of Dombrava's 'Spanish letter' released
https://eng.lsm.lv/article/politics/politics/11.08.2026-corruption-cops-look-at-united-list-politicians-posing-on-combine-harvester.a658272/,Corruption cops look at United List politicians posing on combine harvester
