url,headline,source,scrape_date,cluster
https://news.err.ee/1610075686/russian-disinformation-surge-may-be-connected-to-upcoming-baltic-elections,Russian disinformation surge may be connected to upcoming Baltic elections,err_ee,2026-07-12,4
https://news.err.ee/1610074699/defense-intelligence-russia-may-face-air-force-fuel-problems-after-ukrainian-strikes,Defense Intelligence: Russia may face air force fuel problems after Ukrainian strikes,err_ee,2026-07-12,0
https://news.err.ee/1610073646/estonian-government-approves-extending-temporary-protection-of-ukrainian-refugees,Estonian government approves extending temporary protection of Ukrainian refugees,err_ee,2026-07-12,0
https://news.err.ee/1610075275/estonia-joins-other-2-baltic-states-in-protest-over-russian-airspace-claims,Estonia joins other 2 Baltic states in protest over Russian airspace claims,err_ee,2026-07-12,4
https://news.err.ee/1610076331/tv-thriller-series-being-shot-in-ukraine-and-estonia,TV thriller series being shot in Ukraine and Estonia,err_ee,2026-07-13,5
https://news.err.ee/1610076253/ukraine-war-drives-nonmilitary-women-to-join-defense-organization-in-estonia,Ukraine war drives nonmilitary women to join defense organization in Estonia,err_ee,2026-07-13,0
https://news.err.ee/1610076910/russia-holds-live-fire-exercise-on-lake-peipus-without-informing-estonia,Russia holds live-fire exercise on Lake Peipus without informing Estonia,err_ee,2026-07-14,2
https://news.err.ee/1610077015/just-1-in-3-conscripts-accepted-as-armed-forces-take-gap-year,Just 1 in 3 conscripts accepted as armed forces take 'gap year',err_ee,2026-07-14,0
https://news.err.ee/1610077216/estonia-ukraine-drone-deal-implementation-begins-immediately,Estonia–Ukraine drone deal implementation 'begins immediately',err_ee,2026-07-14,1
https://news.err.ee/1610077186/watch-stefan-hedlund-you-can-t-have-a-rational-discourse-with-people-who-love-russia,Watch | Stefan Hedlund: You can't have a rational discourse with people who love Russia,err_ee,2026-07-14,3
https://news.err.ee/1610077303/russia-plans-to-take-baltics-to-international-court-of-justice-over-alleged-discrimination,Russia plans to take Baltics to International Court of Justice over alleged discrimination,err_ee,2026-07-14,3
https://news.err.ee/1610077780/heavy-rain-slows-work-on-estonia-s-eastern-border,Heavy rain slows work on Estonia's eastern border,err_ee,2026-07-15,2
https://news.err.ee/1610078008/us-close-to-resuming-weapons-deliveries-says-estonian-ambassador,"US 'close' to resuming weapons deliveries, says Estonian ambassador",err_ee,2026-07-15,1
https://news.err.ee/1610077843/estonian-troops-join-bastille-day-parade-in-paris,Estonian troops join Bastille Day parade in Paris,err_ee,2026-07-15,0
